complex.id	complex.name	organism	protein.members
1	BCL6-HDAC4 complex	Human	BCL6
1	BCL6-HDAC4 complex	Human	HDAC4
2	BCL6-HDAC5 complex	Human	BCL6
2	BCL6-HDAC5 complex	Human	HDAC5
3	BCL6-HDAC7 complex	Human	BCL6
3	BCL6-HDAC7 complex	Human	HDAC7
4	Multisubunit ACTR coactivator complex	Human	CREBBP
4	Multisubunit ACTR coactivator complex	Human	EP300
4	Multisubunit ACTR coactivator complex	Human	KAT2B
4	Multisubunit ACTR coactivator complex	Human	NCOA3
9	Ahr-Arnt complex	Mouse	Ahr
9	Ahr-Arnt complex	Mouse	Arnt
10	Condensin I complex	Human	NCAPD2
10	Condensin I complex	Human	NCAPG
10	Condensin I complex	Human	NCAPH
10	Condensin I complex	Human	SMC2
10	Condensin I complex	Human	SMC4
11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Human	HPS1
11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Human	HPS4
12	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Human	HPS3
12	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Human	HPS5
12	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Human	HPS6
13	CDS1-MUS81 complex	Human	CDS1
13	CDS1-MUS81 complex	Human	MUS81
14	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Mouse	Hps3
14	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Mouse	Hps5
14	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Mouse	Hps6
15	NCOR complex	Human	CORO2A
15	NCOR complex	Human	GPS2
15	NCOR complex	Human	HDAC3
15	NCOR complex	Human	NCOR1
15	NCOR complex	Human	TBL1X
15	NCOR complex	Human	TBL1XR1
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Human	BLOC1S1
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Human	BLOC1S2
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Human	BLOC1S3
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Human	BLOC1S4
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Human	BLOC1S5
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Human	BLOC1S6
